A	ఆ
ADEstAru	ఆడేస్తారు
ADapaDuculU	ఆడపడుచులూ
ADapaDucunu	ఆడపడుచును
ADapillalaitE	ఆడపిల్లలైతే
ADapillalaku	ఆడపిల్లలకు
ADapillalu	ఆడపిల్లలు
ADavAriki	ఆడవారికి
ADukOvaDAniki	ఆడుకోవడానికి
ADukuMTAru	ఆడుకుంటారు
ADutunnAM	ఆడుతున్నాం
ALlagaDDa	ఆళ్లగడ్డ
ALlagaDDalOnE	ఆళ్లగడ్డలోనే
ALvAr	ఆళ్వార్
ALvAru	ఆళ్వారు
ALvArutIrthaMgA	ఆళ్వారుతీర్థంగా
AMDrAlajI	ఆండ్రాలజీ
AMTI	ఆంటీ
AMdOLana	ఆందోళన
AMdOLanaku	ఆందోళనకు
AMdhrIkariMcEMduku	ఆంధ్రీకరించేందుకు
AMdhra	ఆంధ్ర
AMdhrabhAshapai	ఆంధ్రభాషపై
AMdhramahAvishNuvuni	ఆంధ్రమహావిష్ణువుని
AMdhrapradES	ఆంధ్రప్రదేశ్
AMjanEya	ఆంజనేయ
AMjanEyasvAmi	ఆంజనేయస్వామి
AMjanEyasvAmiki	ఆంజనేయస్వామికి
ASAbhaMgaM	ఆశాభంగం
ASIrvadistuMTADu	ఆశీర్వదిస్తుంటాడు
ASIrvadistunnaTTu	ఆశీర్వదిస్తున్నట్టు
AScaryAniki	ఆశ్చర్యానికి
AScaryakaraMgA	ఆశ్చర్యకరంగా
AScaryamEmuMdi	ఆశ్చర్యమేముంది
ASiMcAli	ఆశించాలి
ASiMcaTamannadi	ఆశించటమన్నది
ASistADani	ఆశిస్తాడని
ASrayiMcAlanna	ఆశ్రయించాలన్న
ASrayiMcE	ఆశ్రయించే
ASrita	ఆశ్రిత
ATO	ఆటో
ATOlU	ఆటోలూ
ATOllOnU	ఆటోల్లోనూ
ATOlu	ఆటోలు
ATa	ఆట
ATaMkAlU	ఆటంకాలూ
ATaMkaM	ఆటంకం
AbagA	ఆబగా
AcOTanE	ఆచోటనే
AcariMci	ఆచరించి
AdESiMcADaTa	ఆదేశించాడట
AdarAbAdaragA	ఆదరాబాదరగా
AdaristAranI	ఆదరిస్తారనీ
AdhArAlanu	ఆధారాలను
AdhArAlni	ఆధారాల్ని
AdhArAlu	ఆధారాలు
AdhAraMgA	ఆధారంగా
AdhAramayyAyi	ఆధారమయ్యాయి
AdhArapaDakuMDA	ఆధారపడకుండా
AdhArapaDi	ఆధారపడి
Adhunika	ఆధునిక
AdhunikatalaMTU	ఆధునికతలంటూ
AdhvaryaMlO	ఆధ్వర్యంలో
AdhvaryaMlOnU	ఆధ్వర్యంలోనూ
AdhyAtmika	ఆధ్యాత్మిక
Adi	ఆది
AdiSaMkarulu	ఆదిశంకరులు
AdityuDi	ఆదిత్యుడి
AdyaMtaM	ఆద్యంతం
AgAkE	ఆగాకే
AgalEdu	ఆగలేదు
AgnEya	ఆగ్నేయ
AgnEyamUla	ఆగ్నేయమూల
AhA	ఆహా
AhAraM	ఆహారం
AhlAdaM	ఆహ్లాదం
AhlAdabharitaM	ఆహ్లాదభరితం
AhlAdakaramaina	ఆహ్లాదకరమైన
AhvAniMcADu	ఆహ్వానించాడు
AhvAniMcEMduku	ఆహ్వానించేందుకు
AhvAnistAnani	ఆహ్వానిస్తానని
AjJApistADu	ఆజ్ఞాపిస్తాడు
AkASa	ఆకాశ
AkASagaMga	ఆకాశగంగ
AkASarAju	ఆకాశరాజు
AkAraMlO	ఆకారంలో
AkRti	ఆకృతి
Akali	ఆకలి
AkarshaNIyaMgA	ఆకర్షణీయంగా
AkarshaNa	ఆకర్షణ
AkarshiMcalEmOnanna	ఆకర్షించలేమోనన్న
AkramistuMdi	ఆక్రమిస్తుంది
AksalET	ఆక్సలేట్
Aksijan	ఆక్సిజన్
AkulamainaMduku	ఆకులమైనందుకు
AkupUja	ఆకుపూజ
AlOcanA	ఆలోచనా
AlOcana	ఆలోచన
AlOcanalaku	ఆలోచనలకు
AlOcanalani	ఆలోచనలని
AlOcanalanu	ఆలోచనలను
AlOcanalu	ఆలోచనలు
AlOcanaluMTE	ఆలోచనలుంటే
AlOciMcaTaM	ఆలోచించటం
AlOciMcalEni	ఆలోచించలేని
AlOcistUnE	ఆలోచిస్తూనే
AlOcistuMDagAnE	ఆలోచిస్తుండగానే
AlOcistuMTAru	ఆలోచిస్తుంటారు
AlOcistunnAru	ఆలోచిస్తున్నారు
AlayAlanu	ఆలయాలను
AlayAllOnU	ఆలయాల్లోనూ
AlayAlu	ఆలయాలు
AlayAlunnAyi	ఆలయాలున్నాయి
AlayAniki	ఆలయానికి
AlayAnni	ఆలయాన్ని
Alaya	ఆలయ
AlayaM	ఆలయం
AlayaMlO	ఆలయంలో
AlayaMlOki	ఆలయంలోకి
AlayaMlOni	ఆలయంలోని
AlayaMtO	ఆలయంతో
AlayaMtOpATu	ఆలయంతోపాటు
AlumUru	ఆలుమూరు
AmOdaM	ఆమోదం
AmOdiMciMdi	ఆమోదించింది
Amadhya	ఆమధ్య
Ame	ఆమె
Amenu	ఆమెను
AmuktamAlyada	ఆముక్తమాల్యద
An	ఆన్
AnaMdAnni	ఆనందాన్ని
AnaMdAnniccE	ఆనందాన్నిచ్చే
AnaMda	ఆనంద
AnaMdaM	ఆనందం
AnaMdaMgA	ఆనందంగా
AnaMdabharitaMgA	ఆనందభరితంగా
AnaMdadAyakamaina	ఆనందదాయకమైన
